Symbol,Company,Rank,Status, TRI ,TB90 ,MKT CAP ,BOOK ,BOOK4Q ,P/B ,PRNOW ,PR12M ,PCHG12M ,
DOI,,,,
Min (>=),,,,
Max (<),,,,
PKI,"Parkland Fuel Corp.",1,Buy,33696.3086,1.0300,1108.0519,4.8077,4.2410,3.5858,16.6300,10.5600,57.4810,
ATD.B,"Aliment'n Couche-Tard*",2,Buy,33696.3086,1.0300,9393.3271,12.0041,10.0035,3.7914,50.1400,28.6700,74.8866,
WFT,"West Fraser Timber Co.",3,Buy,33696.3086,1.0300,2227.8750,33.6841,35.8839,1.6503,55.5900,42.5100,30.7692,
CFP,"Canfor Corp.",4,Buy,33696.3086,1.0300,1862.9188,7.6454,8.5902,1.7069,13.0500,10.8000,20.8333,
SPB,"Superior Plus Corp.",5,Buy,33696.3086,1.0300,994.2782,3.2449,6.5842,2.8204,8.8700,10.2700,-13.6319,
GEI,"Gibson Energy Inc.",6,Buy,33696.3086,1.0300,2174.5520,8.8601,8.5433,2.4458,21.6700,17.2000,25.9884,
INE,"Innergex Renew. Energy",7,Buy/Sell,33696.3086,1.0300,1020.0204,4.3697,5.4876,2.1366,10.9300,9.6800,12.9132,
VT,"Viterra Inc.",8,Buy,33696.3086,1.0300,5999.6943,10.5778,10.4803,1.5367,16.1400,10.4200,54.8944,
AGU,"Agrium Inc. *",9,Buy,33696.3086,1.0300,15331.0342,47.3107,37.3270,2.0505,97.0100,83.9800,15.5156,
WJA,"WestJet Airlines Ltd.",10,Buy,33696.3086,1.0300,2231.1038,10.4370,9.4545,1.6288,17.0000,13.9900,21.5154,
DOL,"Dollarama Inc.",11,Buy,33696.3086,1.0300,4378.7061,12.5501,10.1355,4.7668,59.3000,32.7500,81.0687,
AIM,"Aimia Inc.",12,Buy,33696.3086,1.0300,2496.4736,6.6344,7.5273,2.1856,14.5000,12.0000,20.8333,
FCR,"First Capital Realty",13,Buy,33696.3086,1.0300,3635.7283,14.8997,12.0675,1.2876,19.2500,16.7400,14.9940,
DH,"DH Corporation",14,Buy,33696.3086,1.0300,1171.0443,11.9715,11.9412,1.6953,19.7700,18.2400,8.3882,
GIB.A,"CGI Group Inc., A",15,Buy,33696.3086,1.0300,7003.1147,9.8103,8.6329,1.9784,25.7400,19.8400,29.7379,
WPRT,"Westport Fuel Systems*",16,Buy,33696.3086,1.0300,1912.7157,7.2139,3.3842,4.8212,34.7800,23.9300,45.3406,
RON,"RONA Inc.",17,Buy,33696.3086,1.0300,1559.8564,13.9748,14.5485,0.9195,12.8500,9.9300,29.4058,
DII.B,"Dorel Industries Inc*",18,Buy/Sell,33696.3086,1.0300,1026.1852,40.6996,37.0415,0.8106,32.7500,23.6100,38.7124,
PSN,"Poseidon Concepts Corp.",19,Buy,33696.3086,1.0300,1196.1779,1.4830,2.7583,11.3200,14.7500,6.7100,119.8212,
MAXR,"Maxar Technologies *",20,Buy,33696.3086,1.0300,1883.2592,7.8624,17.1279,7.5231,59.1500,48.7300,21.3831,
LNR,"Linamar Corp.",21,Buy/Sell,33696.3086,1.0300,1334.9033,15.3590,14.0948,1.3502,20.6300,15.6400,31.9054,
AOI,"Africa Oil Corp.*",22,Buy,33696.3086,1.0300,1946.9736,1.1349,1.1667,7.7540,8.8000,1.3200,566.6666,
KEY,"Keyera Corp.",23,Buy,33696.3086,1.0300,3469.9546,11.3358,9.8436,4.0925,45.0000,45.8300,-1.8110,
MRU,"Metro Inc.",24,Buy,33696.3086,1.0300,5576.6431,25.0589,24.9701,2.3048,57.2600,46.6100,22.8492,
BPO,"Brookfield Off Prop*",25,Buy,33696.3086,1.0300,8342.1895,19.1556,16.7799,0.8704,16.5500,16.4900,0.3639,
TXP,"Touchstone Exploration",26,Buy,33696.3086,1.0300,1232.0446,22.0203,22.5127,0.5618,12.3700,11.8700,4.2123,
CSU,"Constellation Software*",27,Buy,33696.3086,1.0300,2124.6599,11.9315,10.2358,8.4030,100.2600,71.5000,40.2238,
GIL,"Gildan Activewear*",28,Buy,33696.3086,1.0300,3635.1343,11.2752,10.2707,2.6697,29.9000,26.4500,13.0435,
ACM.A,"Astral Media Inc., A",29,Buy,33696.3086,1.0300,2646.5808,28.4871,25.4312,1.6622,47.3500,34.3500,37.8457,
AR,"Argonaut Gold Inc.*",30,Buy/Sell,33696.3086,1.0300,842.2341,3.7569,3.1752,2.4222,9.1000,6.2600,45.3674,
CTC.A,"Cdn Tire Corp. Ltd.",31,Buy,33696.3086,1.0300,5804.4634,56.2123,50.4838,1.2747,71.2700,55.1900,29.1357,
CPG,"Crescent Pt Energy Corp",32,Buy,33696.3086,1.0300,14247.7520,22.6416,19.9700,1.7864,40.9900,44.4500,-7.7840,
ERF,"Enerplus Corporation",33,Buy,33696.3086,1.0300,3070.0901,17.5390,19.6948,0.8952,15.5400,28.6700,-45.7970,
TFII,"TFI International Inc.",34,Buy,33696.3086,1.0300,1735.3993,7.5242,6.6096,2.4109,18.1400,12.9200,40.4025,
STN,"Stantec Inc.",35,Buy,33696.3086,1.0300,1443.4535,14.7604,14.2633,2.1375,31.5500,24.3700,29.4624,
CNR,"Cdn National Railway",36,Buy,33696.3086,1.0300,39246.5234,25.6762,25.4572,3.5130,90.2000,72.0300,25.2256,
